epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2233,4.2776,5.05865,4.32709,0.00589,0.125,0.0136,0.00328,3.13222,4.39503,4.15907,2e-05,2e-05,2e-05
2,150.104,4.07373,5.07369,4.37914,0.00573,0.125,0.0144,0.00269,3.13239,4.39505,4.15918,4.9505e-05,4.9505e-05,4.9505e-05
3,223.486,4.37497,5.19342,4.35858,0.00589,0.125,0.01399,0.00344,3.13255,4.3949,4.15926,7.8416e-05,7.8416e-05,7.8416e-05
4,295.852,4.29481,4.91765,4.36696,0.00572,0.125,0.01357,0.00345,3.13269,4.39507,4.1593,0.000106733,0.000106733,0.000106733
5,366.969,4.3839,5.11266,4.27817,0.00582,0.125,0.01421,0.00252,3.13288,4.39507,4.15928,0.000134456,0.000134456,0.000134456
6,438.941,4.44393,4.93185,4.28312,0.00551,0.125,0.01802,0.00469,3.13305,4.39528,4.15925,0.000161585,0.000161585,0.000161585
7,507.585,4.21913,4.86181,4.22191,0.00556,0.125,0.01266,0.00353,3.13333,4.39568,4.15935,0.00018812,0.00018812,0.00018812
8,574.951,4.4524,4.91953,4.20993,0.00554,0.125,0.01077,0.00369,3.13352,4.39608,4.15939,0.000214061,0.000214061,0.000214061
9,648.242,4.53311,4.79488,4.20844,0.00559,0.125,0.01244,0.00349,3.13382,4.39713,4.15957,0.000239408,0.000239408,0.000239408
10,740.357,4.30633,4.75604,4.21434,0.00568,0.125,0.0127,0.00405,3.134,4.39806,4.15974,0.000264161,0.000264161,0.000264161
11,816.087,4.02238,4.65984,4.20143,0.00564,0.125,0.00893,0.00235,3.13435,4.40082,4.15992,0.00028832,0.00028832,0.00028832
12,880.533,4.2546,4.54813,4.13133,0.00557,0.125,0.00987,0.00334,3.13476,4.40257,4.15998,0.000311885,0.000311885,0.000311885
13,940.754,4.22649,4.48047,4.12878,0.00552,0.125,0.00941,0.00323,3.1307,4.40677,4.1597,0.000334856,0.000334856,0.000334856
14,1004.28,4.13757,4.31728,4.08716,0.0055,0.125,0.00921,0.00324,3.13095,4.40876,4.15924,0.000357233,0.000357233,0.000357233
15,1067.03,3.91413,4.57362,4.05671,0.00562,0.125,0.00955,0.00355,3.12554,4.413,4.1594,0.000379016,0.000379016,0.000379016
16,1147.89,4.24971,4.35131,4.02448,0.00548,0.125,0.009,0.00338,3.12448,4.41654,4.16038,0.000400205,0.000400205,0.000400205
17,1229.49,4.06029,4.24567,4.00237,0.00545,0.125,0.00981,0.00355,3.11841,4.43012,4.16661,0.0004208,0.0004208,0.0004208
18,1308.74,4.17234,4.25198,4.00309,0.00548,0.125,0.00912,0.00406,3.11329,4.4396,4.17098,0.000440801,0.000440801,0.000440801
19,1382.09,4.084,4.19361,3.96321,0.00534,0.125,0.00908,0.00256,3.10234,4.44948,4.17555,0.000460208,0.000460208,0.000460208
20,1447.7,4.09154,4.043,3.93278,0.00544,0.125,0.00911,0.00331,3.09499,4.46123,4.18174,0.000479021,0.000479021,0.000479021
